── MANUSCRIPT ──,Status,Words,Notes,── RESEARCH ──,Result
Chapter 1: The Opening,done,3200,Hook needs tightening,define: protagonist,
Chapter 2: Rising Action,revise,2850,Cut flashback scene,thes: ominous,
Chapter 3: Midpoint,draft,1400,Needs foreshadowing,define: foreshadow,
Chapter 4: Complication,outline,0,Introduce subplot here,,
Chapter 5: Climax,outline,0,Mirror the opening,,
,,,,, 
── DAILY WORDS ──,Mon,Tue,Wed,Thu,Fri
This week,800,1200,650,1400,0
Goal,1000,1000,1000,1000,1000
Progress,s: B8:F8,,,,
,,,,, 
── SUBMISSIONS ──,Market,Genre,Sent,Status,Days
Short story A,Clarkesworld,sci-fi,2026-05-01,pending,45
Flash piece B,Daily SF,flash,2026-06-01,pending,14
Essay C,Guernica,nonfiction,2026-04-15,rejected,—
Poem D,Rattle,poetry,2026-06-10,pending,5
,,,,, 
── REFERENCES ──,,,,,
cite: 10.1037/rev0000126,,,,,
cite: 10.1093/mind/fzx015,,,,,
